id;admin_id;first_name;last_name
41971a59-23fc-4094-b1f2-321a7e932c1f;bypassing Principal;Alden;Rosenbaum
e9f86618-ea9d-47a6-b3bb-9a722a957c31;1080p;Elinor;Bins
466a701f-4bfe-4cea-a6f3-d0709012bbc2;data-warehouse Account;Camilla;Gleason
395a9107-2b25-45d3-a1b7-73d9052edee9;Handmade copying;Bernardo;Treutel
d2b1fc02-8e95-4394-8478-5c3f2be5609e;channels;Milan;Cartwright
0241490d-f91d-4fcb-a5d6-8ea3d6e98711;Practical;Conrad;Erdman
a7b953c5-57dd-430f-900e-eb8799bf4397;Liaison JBOD;Herman;Fay
62468645-4856-4b34-b98b-736af610e5e4;Sharable Cayman;Eulah;Dickens
34b7648b-e8e7-45dc-aa0c-52d472ae1edd;Account Savings Market;Lue;Wehner
00c44515-f5a0-4555-8b80-09cb87055832;Research driver Rustic;Casimir;Luettgen
