id;price;password;bought
236bf0a2-2bbf-4950-a3e3-e524e172d9cf;31860;Books index;true
e08d2271-bffc-4300-a567-2ff7543caf5a;63436;synergy open-source compressing;false
137c9631-3667-49ef-8589-3582a3e0dc07;11880;paradigms programming deposit;true
b1027e38-d29b-4c28-847c-83800bc69f2f;70263;Pants Open-architected Total;true
6767f2cf-8fa8-4e90-941d-28a5cc4d43ac;78860;invoice Denmark;false
705aa862-6da4-4a5e-bf6f-a41ded174693;91818;analyzing;false
a2b003aa-8941-4a7a-948e-0b7403dfd379;37795;intermediate expedite;true
2f95f8c0-310f-4e2f-9fa3-a412a9b10ddb;23459;policy Synchronised;false
50b3dd48-3c93-4bae-a5e4-8f817b32ffb1;86314;Awesome out-of-the-box;false
6369e1c6-7928-433a-924d-a72c02ab9e14;78061;synthesize Metal;true
